#White, J., Bradley, E., Garland, J., Jones, T., Morris, V., Price, M., Vaughn, B., 2019. Stable #Isotopes of Ice in the Transition and Glacial Sections of the WAIS Divide Deep Ice Core. #https://doi.org/10.15784/601274 from WDC_accumulation_annual.xls downloaded 03/2024
#50-year and 100-year average accumulation rates;;;;
;;;;
Age (years before 1950 on WD2014);Advection-correction accumulation rate (ice eq.);;Age (years before 1950 on WD2014);Advection-correction accumulation rate (ice eq.)
19150;0,079828406;;;
19200;0,081706241;;;
19250;0,079788705;;;
19300;0,082869754;;;
19350;0,084452472;;;
19400;0,082843511;;;
19450;0,091270748;;;
19500;0,084017714;;;
19550;0,088297437;;;
19600;0,081630065;;;
19650;0,089018659;;;
19700;0,090776212;;;
19750;0,085711493;;;
19800;0,083987217;;;
19850;0,084251776;;;
19900;0,082291683;;;
19950;0,083106624;;;
20000;0,096784894;;;
20050;0,087309905;;;
20100;0,084249501;;;
20150;0,08480984;;;
20200;0,085098459;;;
20250;0,092346666;;;
20300;0,08867722;;;
20350;0,083410358;;;
20400;0,088250061;;;
20450;0,091439814;;;
20500;0,085246213;;;
20550;0,090014026;;;
20600;0,095334676;;;
20650;0,090576885;;;
20700;0,091028315;;;
20750;0,096017888;;;
20800;0,089402056;;;
20850;0,088995895;;;
20900;0,085368696;;;
20950;0,085932198;;;
21000;0,081193528;;;
21050;0,081914856;;;
21100;0,086750836;;;
21150;0,084126174;;;
21200;0,08901531;;;
21250;0,083638146;;;
21300;0,082476611;;;
21350;0,07681738;;;
21400;0,082590907;;;
21450;0,078763607;;;
21500;0,083656531;;;
21550;0,085584266;;;
21600;0,085667766;;;
21650;0,082429794;;;
21700;0,084069165;;;
21750;0,086267965;;;
21800;0,079610693;;;
21850;0,08718191;;;
21900;0,088779521;;;
21950;0,081486462;;;
22000;0,082813623;;;
22050;0,082798195;;;
22100;0,084854781;;;
22150;0,083697118;;;
22200;0,083423603;;;
22250;0,08483181;;;
22300;0,091998492;;;
22350;0,08967052;;;
22400;0,085589807;;;
22450;0,089350451;;;
22500;0,086153776;;;
22550;0,08873303;;;
22600;0,085375645;;;
22650;0,092382593;;;
22700;0,08815345;;;
22750;0,092073675;;;
22800;0,089245108;;;
22850;0,085892955;;;
22900;0,083897789;;;
22950;0,08809443;;;
23000;0,094823525;;;
23050;0,087005832;;;
23100;0,083716445;;;
23150;0,08817349;;;
23200;0,086732114;;;
23250;0,082036072;;;
23300;0,089070249;;;
23350;0,085851833;;;
23400;0,087895286;;;
23450;0,082606207;;;
23500;0,085905711;;;
23550;0,086659897;;;
23600;0,089256741;;;
23650;0,089677657;;;
23700;0,093792446;;;
23750;0,090066439;;;
