Note: The temperature values on this sheet are 1,000-yr averages. ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Age;Summer Temp;1sigma+;1sigma-;2sigma+;2sigma-;;Age;ORBIT;;Age;MEBM;;Age;GLAC1D;;Age;ICE-6G;
(ka);(C);(C);(C);(C);(C);;(ka);(C);;(ka);(C);;(ka);(C);;(ka);(C);
0,449;-0,63;-0,40;-0,82;-0,17;-1,02;;;;;;;;;;;;;
0,450;-0,63;-0,40;-0,83;-0,17;-1,02;;;;;;;;;;;;;
0,451;-0,63;-0,40;-0,83;-0,17;-1,02;;;;;;;;;;;;;
0,452;-0,63;-0,40;-0,83;-0,17;-1,02;;;;;;;;;;;;;
0,453;-0,63;-0,40;-0,83;-0,17;-1,02;;;;;;;;;;;;;
0,454;-0,63;-0,40;-0,83;-0,17;-1,02;;;;;;;;;;;;;
0,455;-0,63;-0,40;-0,82;-0,17;-1,02;;;;;;;;;;;;;
0,456;-0,63;-0,40;-0,82;-0,16;-1,01;;;;;;;;;;;;;
0,457;-0,63;-0,40;-0,82;-0,17;-1,02;;;;;;;;;;;;;
0,458;-0,63;-0,40;-0,83;-0,17;-1,02;;;;;;;;;;;;;
0,459;-0,64;-0,41;-0,83;-0,18;-1,03;;;;;;;;;;;;;
0,460;-0,64;-0,41;-0,83;-0,18;-1,03;;;;;;;;;;;;;
0,461;-0,64;-0,41;-0,83;-0,18;-1,03;;;;;;;;;;;;;
0,462;-0,64;-0,41;-0,83;-0,18;-1,02;;;;;;;;;;;;;
0,463;-0,63;-0,40;-0,83;-0,17;-1,02;;;;;;;;;;;;;
0,464;-0,63;-0,40;-0,83;-0,17;-1,02;;;;;;;;;;;;;
0,465;-0,63;-0,40;-0,82;-0,17;-1,02;;;;;;;;;;;;;
0,466;-0,64;-0,41;-0,83;-0,18;-1,02;;;;;;;;;;;;;
0,467;-0,64;-0,41;-0,83;-0,18;-1,02;;;;;;;;;;;;;
0,468;-0,64;-0,41;-0,83;-0,18;-1,02;;;;;;;;;;;;;
0,469;-0,64;-0,41;-0,83;-0,18;-1,02;;;;;;;;;;;;;
0,470;-0,64;-0,41;-0,83;-0,18;-1,02;;;;;;;;;;;;;
0,471;-0,64;-0,41;-0,83;-0,18;-1,02;;;;;;;;;;;;;
0,472;-0,64;-0,41;-0,83;-0,18;-1,02;;;;;;;;;;;;;
0,473;-0,64;-0,41;-0,83;-0,18;-1,02;;;;;;;;;;;;;
0,474;-0,63;-0,40;-0,83;-0,17;-1,02;;;;;;;;;;;;;
0,475;-0,63;-0,40;-0,82;-0,17;-1,02;;;;;;;;;;;;;
0,476;-0,63;-0,40;-0,82;-0,17;-1,02;;;;;;;;;;;;;
0,477;-0,63;-0,41;-0,83;-0,18;-1,02;;;;;;;;;;;;;
0,478;-0,63;-0,40;-0,83;-0,17;-1,02;;;;;;;;;;;;;
0,479;-0,63;-0,40;-0,82;-0,17;-1,02;;;;;;;;;;;;;
0,480;-0,63;-0,40;-0,82;-0,17;-1,01;;;;;;;;;;;;;
0,481;-0,63;-0,40;-0,82;-0,17;-1,01;;;;;;;;;;;;;
0,482;-0,63;-0,40;-0,82;-0,17;-1,01;;;;;;;;;;;;;
0,483;-0,63;-0,40;-0,82;-0,17;-1,01;;;;;;;;;;;;;
0,484;-0,63;-0,40;-0,82;-0,17;-1,01;;;;;;;;;;;;;
0,485;-0,62;-0,39;-0,81;-0,16;-1,01;;;;;;;;;;;;;
0,486;-0,62;-0,39;-0,81;-0,16;-1,00;;;;;;;;;;;;;
0,487;-0,61;-0,38;-0,81;-0,16;-1,00;;;;;;;;;;;;;
0,488;-0,61;-0,38;-0,81;-0,16;-1,00;;;;;;;;;;;;;
0,489;-0,61;-0,39;-0,81;-0,16;-1,00;;;;;;;;;;;;;
0,490;-0,61;-0,38;-0,81;-0,16;-1,00;;;;;;;;;;;;;
0,491;-0,61;-0,39;-0,81;-0,16;-1,00;;;;;;;;;;;;;
0,492;-0,62;-0,39;-0,81;-0,16;-1,00;;;;;;;;;;;;;
0,493;-0,62;-0,39;-0,81;-0,16;-1,00;;;;;;;;;;;;;
0,494;-0,61;-0,39;-0,81;-0,16;-1,00;;;;;;;;;;;;;
0,495;-0,62;-0,39;-0,81;-0,16;-1,00;;;;;;;;;;;;;
0,496;-0,62;-0,39;-0,81;-0,16;-1,00;;;;;;;;;;;;;
0,497;-0,62;-0,39;-0,81;-0,16;-1,00;;;;;;;;;;;;;
0,498;-0,61;-0,38;-0,80;-0,15;-1,00;;;;;;;;;;;;;
0,499;-0,61;-0,38;-0,80;-0,15;-0,99;;;;;;;;;;;;;
0,500;-0,61;-0,38;-0,80;-0,15;-1,00;;;;;;;;;;;;;
0,501;-0,61;-0,38;-0,80;-0,15;-1,00;;;;;;;;;;;;;
0,502;-0,61;-0,38;-0,80;-0,15;-1,00;;;;;;;;;;;;;
0,503;-0,61;-0,38;-0,80;-0,15;-0,99;;;;;;;;;;;;;
0,504;-0,61;-0,37;-0,80;-0,14;-0,99;;;;;;;;;;;;;
0,505;-0,61;-0,38;-0,80;-0,15;-0,99;;;;;;;;;;;;;
0,506;-0,61;-0,38;-0,80;-0,15;-0,99;;;;;;;;;;;;;
0,507;-0,60;-0,37;-0,80;-0,14;-0,99;;;;;;;;;;;;;
0,508;-0,61;-0,38;-0,80;-0,15;-0,99;;;;;;;;;;;;;
0,509;-0,61;-0,38;-0,80;-0,15;-0,99;;;;;;;;;;;;;
0,510;-0,61;-0,38;-0,80;-0,15;-0,99;;;;;;;;;;;;;
0,511;-0,60;-0,37;-0,80;-0,14;-0,99;;;;;;;;;;;;;
0,512;-0,60;-0,37;-0,80;-0,14;-0,99;;;;;;;;;;;;;
0,513;-0,60;-0,37;-0,80;-0,14;-0,99;;;;;;;;;;;;;
0,514;-0,61;-0,38;-0,80;-0,15;-0,99;;;;;;;;;;;;;
0,515;-0,61;-0,38;-0,80;-0,15;-0,99;;;;;;;;;;;;;
